r0[m]	z0[m]	Noise[Hz^-1/2]
30.0	1.0	6.66667	7.04326e-26
30.0	1.0	7.5	1.06414e-25
30.0	1.0	8.33333	1.53967e-25
30.0	1.0	9.16667	2.15065e-25
30.0	1.0	10	2.91853e-25
30.0	1.0	10.8333	3.86481e-25
30.0	1.0	11.6667	5.0151e-25
30.0	1.0	12.5	6.39965e-25
30.0	1.0	13.3333	8.08491e-25
30.0	1.0	14.1667	1.03199e-24
30.0	1.0	15	1.38406e-24
30.0	1.0	15.8333	2.03708e-24
30.0	1.0	16.6667	3.27358e-24
30.0	1.0	17.5	5.44652e-24
30.0	1.0	18.3333	8.99544e-24
30.0	1.0	19.1667	1.44334e-23
30.0	1.0	20	2.23923e-23
30.0	1.0	20.8333	3.36086e-23
30.0	1.0	21.6667	4.86908e-23
30.0	1.0	22.5	6.91764e-23
30.0	1.0	23.3333	9.5297e-23
30.0	1.0	24.1667	1.28804e-22
30.0	1.0	25	1.70297e-22
30.0	1.0	25.8333	2.21093e-22
30.0	1.0	26.6667	2.82449e-22
30.0	1.0	27.5	3.55485e-22
30.0	1.0	28.3333	4.4147e-22
30.0	1.0	29.1667	5.41549e-22
30.0	1.0	30	6.56832e-22
40.0	1.0	5	1.95208e-26
40.0	1.0	5.83333	3.34914e-26
40.0	1.0	6.66667	5.34619e-26
40.0	1.0	7.5	8.07547e-26
40.0	1.0	8.33333	1.16809e-25
40.0	1.0	9.16667	1.63091e-25
40.0	1.0	10	2.21289e-25
40.0	1.0	10.8333	2.92861e-25
40.0	1.0	11.6667	3.79915e-25
40.0	1.0	12.5	4.83957e-25
40.0	1.0	13.3333	6.06527e-25
40.0	1.0	14.1667	7.50458e-25
40.0	1.0	15	9.1743e-25
40.0	1.0	15.8333	1.11052e-24
40.0	1.0	16.6667	1.33812e-24
40.0	1.0	17.5	1.61325e-24
40.0	1.0	18.3333	1.97931e-24
40.0	1.0	19.1667	2.51302e-24
40.0	1.0	20	3.36105e-24
40.0	1.0	20.8333	4.72807e-24
40.0	1.0	21.6667	6.86078e-24
40.0	1.0	22.5	1.00432e-23
40.0	1.0	23.3333	1.45845e-23
40.0	1.0	24.1667	2.09001e-23
40.0	1.0	25	2.9362e-23
40.0	1.0	25.8333	4.04462e-23
40.0	1.0	26.6667	5.47533e-23
40.0	1.0	27.5	7.27114e-23
40.0	1.0	28.3333	9.51096e-23
40.0	1.0	29.1667	1.22452e-22
40.0	1.0	30	1.554e-22
5.0	1.0	5	1.40972e-24
5.0	1.0	5.83333	8.65632e-24
5.0	1.0	6.66667	3.20033e-23
5.0	1.0	7.5	8.60916e-23
5.0	1.0	8.33333	1.87462e-22
5.0	1.0	9.16667	3.52178e-22
5.0	1.0	10	5.94284e-22
5.0	1.0	10.8333	9.25302e-22
5.0	1.0	11.6667	1.35401e-21
5.0	1.0	12.5	1.88694e-21
5.0	1.0	13.3333	2.52828e-21
5.0	1.0	14.1667	3.281e-21
5.0	1.0	15	4.14625e-21
5.0	1.0	15.8333	5.12464e-21
5.0	1.0	16.6667	6.21526e-21
5.0	1.0	17.5	7.41744e-21
5.0	1.0	18.3333	8.73035e-21
5.0	1.0	19.1667	1.01513e-20
5.0	1.0	20	1.16786e-20
5.0	1.0	20.8333	1.33105e-20
5.0	1.0	21.6667	1.50446e-20
5.0	1.0	22.5	1.68777e-20
5.0	1.0	23.3333	1.88092e-20
5.0	1.0	24.1667	2.08361e-20
5.0	1.0	25	2.29581e-20
5.0	1.0	25.8333	2.51674e-20
5.0	1.0	26.6667	2.74685e-20
5.0	1.0	27.5	2.98553e-20
5.0	1.0	28.3333	3.2328e-20
5.0	1.0	29.1667	3.48826e-20
5.0	1.0	30	3.7521e-20
50.0	1.0	5	1.57407e-26
50.0	1.0	5.83333	2.70043e-26
50.0	1.0	6.66667	4.3101e-26
50.0	1.0	7.5	6.51007e-26
