r0[m]	uref[m/s]	Noise[Hz^-1/2]
20.0	30.0	0.158489	1.49677e-23
20.0	30.0	0.184785	1.67415e-23
20.0	30.0	0.215443	1.87592e-23
20.0	30.0	0.251189	2.10569e-23
20.0	30.0	0.292864	2.36699e-23
20.0	30.0	0.341455	2.66779e-23
20.0	30.0	0.398107	3.01266e-23
20.0	30.0	0.464159	3.41193e-23
20.0	30.0	0.54117	3.87442e-23
20.0	30.0	0.630957	4.42827e-23
20.0	30.0	0.735642	5.09273e-23
20.0	30.0	0.857696	5.91945e-23
20.0	30.0	1	7.00172e-23
20.0	40.0	0.01	2.069e-24
20.0	40.0	0.0116591	2.23779e-24
20.0	40.0	0.0135936	2.4233e-24
20.0	40.0	0.0158489	2.62761e-24
20.0	40.0	0.0184785	2.85321e-24
20.0	40.0	0.0215443	3.1067e-24
20.0	40.0	0.0251189	3.38698e-24
20.0	40.0	0.0292864	3.70165e-24
20.0	40.0	0.0341455	4.0529e-24
20.0	40.0	0.0398107	4.44589e-24
20.0	40.0	0.0464159	4.88824e-24
20.0	40.0	0.054117	5.38527e-24
20.0	40.0	0.0630957	5.94618e-24
20.0	40.0	0.0735642	6.57933e-24
20.0	40.0	0.0857696	7.29384e-24
20.0	40.0	0.1	8.09883e-24
20.0	40.0	0.116591	9.01812e-24
20.0	40.0	0.135936	1.00556e-23
20.0	40.0	0.158489	1.12293e-23
20.0	40.0	0.184785	1.25642e-23
20.0	40.0	0.215443	1.40803e-23
20.0	40.0	0.251189	1.58056e-23
20.0	40.0	0.292864	1.77657e-23
20.0	40.0	0.341455	2.00195e-23
20.0	40.0	0.398107	2.25951e-23
20.0	40.0	0.464159	2.55663e-23
20.0	40.0	0.54117	2.89804e-23
20.0	40.0	0.630957	3.30034e-23
20.0	40.0	0.735642	3.77037e-23
20.0	40.0	0.857696	4.32726e-23
20.0	40.0	1	4.9958e-23
20.0	5.0	0.01	2.0581e-21
20.0	5.0	0.0116591	2.09995e-21
20.0	5.0	0.0135936	2.14529e-21
20.0	5.0	0.0158489	2.19472e-21
20.0	5.0	0.0184785	2.24877e-21
20.0	5.0	0.0215443	2.30771e-21
20.0	5.0	0.0251189	2.37228e-21
20.0	5.0	0.0292864	2.4428e-21
20.0	5.0	0.0341455	2.52035e-21
20.0	5.0	0.0398107	2.60579e-21
20.0	5.0	0.0464159	2.69949e-21
20.0	5.0	0.054117	2.80342e-21
20.0	5.0	0.0630957	2.91829e-21
20.0	5.0	0.0735642	3.04582e-21
20.0	5.0	0.0857696	3.18759e-21
20.0	5.0	0.1	3.34572e-21
20.0	5.0	0.116591	3.52263e-21
20.0	5.0	0.135936	3.72109e-21
20.0	5.0	0.158489	3.94473e-21
20.0	5.0	0.184785	4.19773e-21
20.0	5.0	0.215443	4.48476e-21
20.0	5.0	0.251189	4.81202e-21
20.0	5.0	0.292864	5.18651e-21
20.0	5.0	0.341455	5.61826e-21
20.0	5.0	0.398107	6.11743e-21
20.0	5.0	0.464159	6.69909e-21
20.0	5.0	0.54117	7.37994e-21
20.0	5.0	0.630957	8.18516e-21
20.0	5.0	0.735642	9.14282e-21
20.0	5.0	0.857696	1.02921e-20
20.0	5.0	1	1.16847e-20
20.0	50.0	0.01	1.65166e-24
20.0	50.0	0.0116591	1.78655e-24
20.0	50.0	0.0135936	1.93497e-24
20.0	50.0	0.0158489	2.09688e-24
20.0	50.0	0.0184785	2.27829e-24
20.0	50.0	0.0215443	2.47987e-24
20.0	50.0	0.0251189	2.70559e-24
20.0	50.0	0.0292864	2.95778e-24
20.0	50.0	0.0341455	3.23908e-24
20.0	50.0	0.0398107	3.55367e-24
20.0	50.0	0.0464159	3.90779e-24
20.0	50.0	0.054117	4.30596e-24
20.0	50.0	0.0630957	4.75514e-24
20.0	50.0	0.0735642	5.26224e-24
20.0	50.0	0.0857696	5.83477e-24
20.0	50.0	0.1	6.47897e-24
20.0	50.0	0.116591	7.21594e-24
20.0	50.0	0.135936	8.04718e-24
20.0	50.0	0.158489	8.98627e-24
20.0	50.0	0.184785	1.00574e-23
20.0	50.0	0.215443	1.12722e-23
20.0	50.0	0.251189	1.26545e-23
20.0	50.0	0.292864	1.42234e-23
20.0	50.0	0.341455	1.60304e-23
20.0	50.0	0.398107	1.80924e-23
20.0	50.0	0.464159	2.04744e-23
20.0	50.0	0.54117	2.321e-23
20.0	50.0	0.630957	2.64296e-23
20.0	50.0	0.735642	3.01926e-23
20.0	50.0	0.857696	3.4644e-23
20.0	50.0	1	3.9974e-23
30.0	10.0	0.01	1.69465e-21
30.0	10.0	0.0116591	1.74884e-21
30.0	10.0	0.0135936	1.80733e-21
30.0	10.0	0.0158489	1.87111e-21
30.0	10.0	0.0184785	1.94042e-21
30.0	10.0	0.0215443	2.01616e-21
30.0	10.0	0.0251189	2.09892e-21
30.0	10.0	0.0292864	2.1896e-21
30.0	10.0	0.0341455	2.28896e-21
30.0	10.0	0.0398107	2.39842e-21
30.0	10.0	0.0464159	2.51916e-21
30.0	10.0	0.054117	2.6526e-21
30.0	10.0	0.0630957	2.80089e-21
30.0	10.0	0.0735642	2.96556e-21
30.0	10.0	0.0857696	3.14911e-21
30.0	10.0	0.1	3.35461e-21
30.0	10.0	0.116591	3.58577e-21
30.0	10.0	0.135936	3.8468e-21
30.0	10.0	0.158489	4.14162e-21
30.0	10.0	0.184785	4.47749e-21
30.0	10.0	0.215443	4.86009e-21
30.0	10.0	0.251189	5.29951e-21
30.0	10.0	0.292864	5.80657e-21
30.0	10.0	0.341455	6.39419e-21
30.0	10.0	0.398107	7.08002e-21
30.0	10.0	0.464159	7.88412e-21
30.0	10.0	0.54117	8.83461e-21
30.0	10.0	0.630957	9.9683e-21
30.0	10.0	0.735642	1.13279e-20
30.0	10.0	0.857696	1.29773e-20
30.0	10.0	1	1.49913e-20
30.0	100.0	0.01	3.25168e-24
30.0	100.0	0.0116591	3.49194e-24
30.0	100.0	0.0135936	3.75299e-24
30.0	100.0	0.0158489	4.02746e-24
30.0	100.0	0.0184785	4.34282e-24
30.0	100.0	0.0215443	4.67683e-24
30.0	100.0	0.0251189	5.04441e-24
30.0	100.0	0.0292864	5.44224e-24
30.0	100.0	0.0341455	5.87555e-24
30.0	100.0	0.0398107	6.34643e-24
30.0	100.0	0.0464159	6.86236e-24
30.0	100.0	0.054117	7.42458e-24
30.0	100.0	0.0630957	8.03872e-24
30.0	100.0	0.0735642	8.71467e-24
30.0	100.0	0.0857696	9.4539e-24
30.0	100.0	0.1	1.02646e-23
30.0	100.0	0.116591	1.11628e-23
30.0	100.0	0.135936	1.21343e-23
30.0	100.0	0.158489	1.32471e-23
30.0	100.0	0.184785	1.44754e-23
30.0	100.0	0.215443	1.58406e-23
30.0	100.0	0.251189	1.73712e-23
30.0	100.0	0.292864	1.90885e-23
30.0	100.0	0.341455	2.10446e-23
30.0	100.0	0.398107	2.32576e-23
30.0	100.0	0.464159	2.58286e-23
30.0	100.0	0.54117	2.87712e-23
30.0	100.0	0.630957	3.22073e-23
30.0	100.0	0.735642	3.62724e-23
30.0	100.0	0.857696	4.10721e-23
30.0	100.0	1	4.68705e-23
30.0	20.0	0.01	6.19159e-23
30.0	20.0	0.0116591	6.61875e-23
30.0	20.0	0.0135936	7.09298e-23
30.0	20.0	0.0158489	7.62311e-23
30.0	20.0	0.0184785	8.21321e-23
30.0	20.0	0.0215443	8.87568e-23
30.0	20.0	0.0251189	9.62306e-23
30.0	20.0	0.0292864	1.04643e-22
30.0	20.0	0.0341455	1.1419e-22
30.0	20.0	0.0398107	1.25036e-22
30.0	20.0	0.0464159	1.37405e-22
30.0	20.0	0.054117	1.51601e-22
30.0	20.0	0.0630957	1.6796e-22
30.0	20.0	0.0735642	1.86862e-22
30.0	20.0	0.0857696	2.08856e-22
30.0	20.0	0.1	2.34544e-22
30.0	20.0	0.116591	2.64709e-22
30.0	20.0	0.135936	3.00432e-22
30.0	20.0	0.158489	3.42815e-22
30.0	20.0	0.184785	3.93531e-22
30.0	20.0	0.215443	4.54594e-22
30.0	20.0	0.251189	5.2856e-22
30.0	20.0	0.292864	6.18811e-22
