Energy loss[m^2/s^3]	f[Hz]	Noise[Hz^-1/2]
0.2	8.25404	1.434e-29
0.2	9.08518	5.17358e-30
0.2	10.0	1.62883e-30
0.24	1.0	1.04678e-20
0.24	1.10069	5.23644e-21
0.24	1.21153	2.53771e-21
0.24	1.33352	1.18759e-21
0.24	1.4678	5.34918e-22
0.24	1.6156	2.31e-22
0.24	1.77828	9.52565e-23
0.24	1.95734	3.73353e-23
0.24	2.15443	1.3839e-23
0.24	2.37137	4.82534e-24
0.24	2.61016	1.57364e-24
0.24	2.87298	4.77413e-25
0.24	3.16228	1.34347e-25
0.24	3.4807	3.55675e-26
0.24	3.83119	9.73043e-27
0.24	4.21697	3.4906e-27
0.24	4.64159	1.67761e-27
0.24	5.10897	8.75297e-28
0.24	5.62341	4.54066e-28
0.24	6.18966	2.28977e-28
0.24	6.81292	1.10637e-28
0.24	7.49894	5.04666e-29
0.24	8.25404	2.13444e-29
0.24	9.08518	8.19646e-30
0.24	10.0	2.78788e-30
0.28	1.0	1.08276e-20
0.28	1.10069	5.41908e-21
0.28	1.21153	2.62775e-21
0.28	1.33352	1.2306e-21
0.28	1.4678	5.54679e-22
0.28	1.6156	2.39746e-22
0.28	1.77828	9.8957e-23
0.28	1.95734	3.88295e-23
0.28	2.15443	1.44114e-23
0.28	2.37137	5.03255e-24
0.28	2.61016	1.64447e-24
0.28	2.87298	5.00222e-25
0.28	3.16228	1.41509e-25
0.28	3.4807	3.80542e-26
0.28	3.83119	1.09303e-26
0.28	4.21697	4.21353e-27
0.28	4.64159	2.09248e-27
0.28	5.10897	1.1061e-27
0.28	5.62341	5.81811e-28
0.28	6.18966	2.99009e-28
0.28	6.81292	1.48248e-28
0.28	7.49894	6.99636e-29
0.28	8.25404	3.09128e-29
0.28	9.08518	1.25457e-29
0.28	10.0	4.57365e-30
0.33	1.0	1.1209e-20
0.33	1.10069	5.6132e-21
0.33	1.21153	2.72359e-21
0.33	1.33352	1.27639e-21
0.33	1.4678	5.75824e-22
0.33	1.6156	2.49109e-22
0.33	1.77828	1.02935e-22
0.33	1.95734	4.04404e-23
0.33	2.15443	1.50303e-23
0.33	2.37137	5.25755e-24
0.33	2.61016	1.72186e-24
0.33	2.87298	5.25419e-25
0.33	3.16228	1.49623e-25
0.33	3.4807	4.10302e-26
0.33	3.83119	1.24487e-26
0.33	4.21697	5.11777e-27
0.33	4.64159	2.60476e-27
0.33	5.10897	1.39089e-27
0.33	5.62341	7.39931e-28
0.33	6.18966	3.86324e-28
0.33	6.81292	1.95803e-28
0.33	7.49894	9.51609e-29
0.33	8.25404	4.36956e-29
0.33	9.08518	1.86244e-29
0.33	10.0	7.22008e-30
0.39	1.0	1.16129e-20
0.39	1.10069	5.81918e-21
0.39	1.21153	2.82554e-21
0.39	1.33352	1.32524e-21
0.39	1.4678	5.98407e-22
0.39	1.6156	2.59159e-22
0.39	1.77828	1.07215e-22
0.39	1.95734	4.21796e-23
0.39	2.15443	1.57024e-23
0.39	2.37137	5.50355e-24
0.39	2.61016	1.80677e-24
0.39	2.87298	5.53525e-25
0.39	3.16228	1.58941e-25
0.39	3.4807	4.46506e-26
0.39	3.83119	1.43682e-26
0.39	4.21697	6.24384e-27
0.39	4.64159	3.23728e-27
0.39	5.10897	1.74219e-27
0.39	5.62341	9.35147e-28
