U[m/s]	f[Hz]	Noise[Hz^-1/2]
0.1	6.18966	4.63486e-25
0.1	6.81292	1.53286e-25
0.1	7.49894	4.71176e-26
0.1	8.25404	1.33643e-26
0.1	9.08518	3.46977e-27
0.1	10.0	8.17634e-28
0.1	1.0	2.83211e-19
0.1	1.10069	1.73874e-19
0.1	1.21153	1.05465e-19
0.1	1.33352	6.31473e-20
0.1	1.4678	3.72775e-20
0.1	1.6156	2.16619e-20
0.1	1.77828	1.23744e-20
0.1	1.95734	6.93848e-21
0.1	2.15443	3.8091e-21
0.1	2.37137	2.04478e-21
0.1	2.61016	1.07066e-21
0.1	2.87298	5.45337e-22
0.1	3.16228	2.69634e-22
0.1	3.4807	1.28915e-22
0.1	3.83119	5.94548e-23
0.1	4.21697	2.63333e-23
0.1	4.64159	1.11677e-23
0.1	5.10897	4.51158e-24
0.1	5.62341	1.72907e-24
0.1	6.18966	6.24863e-25
0.1	6.81292	2.11866e-25
0.1	7.49894	6.69235e-26
0.1	8.25404	1.9565e-26
0.1	9.08518	5.2506e-27
0.1	10.0	1.28319e-27
0.1	1.0	3.0823e-19
0.1	1.10069	1.89957e-19
0.1	1.21153	1.1571e-19
0.1	1.33352	6.95913e-20
0.1	1.4678	4.13077e-20
0.1	1.6156	2.41443e-20
0.1	1.77828	1.38793e-20
0.1	1.95734	7.8336e-21
0.1	2.15443	4.3343e-21
0.1	2.37137	2.34576e-21
0.1	2.61016	1.23917e-21
0.1	2.87298	6.37583e-22
0.1	3.16228	3.18641e-22
0.1	3.4807	1.54185e-22
0.1	3.83119	7.20398e-23
0.1	4.21697	3.23871e-23
0.1	4.64159	1.39512e-23
0.1	5.10897	5.73734e-24
0.1	5.62341	2.24104e-24
0.1	6.18966	8.27239e-25
0.1	6.81292	2.87033e-25
0.1	7.49894	9.30404e-26
0.1	8.25404	2.79695e-26
0.1	9.08518	7.74344e-27
0.1	10.0	1.95772e-27
0.1	1.0	6.6422e-24
0.1	1.10069	3.35911e-24
0.1	1.21153	1.78971e-24
0.1	1.33352	9.74323e-25
0.1	1.4678	5.35476e-25
0.1	1.6156	2.95838e-25
0.1	1.77828	1.64003e-25
0.1	1.95734	9.11388e-26
0.1	2.15443	5.07159e-26
0.1	2.37137	2.82301e-26
0.1	2.61016	1.56967e-26
0.1	2.87298	8.70097e-27
0.1	3.16228	4.79431e-27
0.1	3.4807	2.6138e-27
0.1	3.83119	1.40218e-27
0.1	4.21697	7.34267e-28
0.1	4.64159	3.71576e-28
0.1	5.10897	1.79528e-28
0.1	5.62341	8.15706e-29
0.1	6.18966	3.42396e-29
0.1	6.81292	1.29994e-29
0.1	7.49894	4.35431e-30
0.1	8.25404	1.24909e-30
0.1	9.08518	2.96056e-31
0.1	10.0	5.55778e-32
0.1	1.0	2.85852e-23
0.1	1.10069	9.69858e-24
0.1	1.21153	3.35583e-24
0.1	1.33352	1.31201e-24
0.1	1.4678	6.12238e-25
0.1	1.6156	3.19038e-25
0.1	1.77828	1.72994e-25
0.1	1.95734	9.49953e-26
0.1	2.15443	5.24268e-26
0.1	2.37137	2.90011e-26
0.1	2.61016	1.60478e-26
0.1	2.87298	8.86219e-27
0.1	3.16228	4.86811e-27
0.1	3.4807	2.64877e-27
0.1	3.83119	1.41869e-27
0.1	4.21697	7.42113e-28
0.1	4.64159	3.75386e-28
0.1	5.10897	1.8133e-28
0.1	5.62341	8.2411e-29
0.1	6.18966	3.46143e-29
0.1	6.81292	1.31578e-29
0.1	7.49894	4.41413e-30
0.1	8.25404	1.26858e-30
0.1	9.08518	3.01368e-31
0.1	10.0	5.67698e-32
0.1	1.0	1.45931e-22
0.1	1.10069	5.36019e-23
0.1	1.21153	1.85651e-23
0.1	1.33352	6.06328e-24
0.1	1.4678	1.89343e-24
0.1	1.6156	6.0147e-25
0.1	1.77828	2.23913e-25
0.1	1.95734	1.0476e-25
0.1	2.15443	5.52442e-26
0.1	2.37137	3.01131e-26
0.1	2.61016	1.65332e-26
0.1	2.87298	9.08041e-27
0.1	3.16228	4.96815e-27
0.1	3.4807	2.69503e-27
0.1	3.83119	1.44045e-27
0.1	4.21697	7.52454e-28
0.1	4.64159	3.80318e-28
0.1	5.10897	1.83711e-28
0.1	5.62341	8.35068e-29
0.1	6.18966	3.51099e-29
0.1	6.81292	1.3361e-29
0.1	7.49894	4.49216e-30
0.1	8.25404	1.29419e-30
0.1	9.08518	3.08536e-31
0.1	10.0	5.83457e-32
0.1	1.0	4.91887e-22
0.1	1.10069	1.98362e-22
0.1	1.21153	7.58861e-23
0.1	1.33352	2.74083e-23
0.1	1.4678	9.30178e-24
0.1	1.6156	2.95503e-24
0.1	1.77828	8.81559e-25
0.1	1.95734	2.55285e-25
0.1	2.15443	8.14686e-26
0.1	2.37137	3.4044e-26
0.1	2.61016	1.73777e-26
0.1	2.87298	9.38222e-27
0.1	3.16228	5.09905e-27
0.1	3.4807	2.75451e-27
0.1	3.83119	1.46814e-27
0.1	4.21697	7.65556e-28
0.1	4.64159	3.86549e-28
0.1	5.10897	1.86616e-28
0.1	5.62341	8.48903e-29
0.1	6.18966	3.57262e-29
0.1	6.81292	1.36183e-29
0.1	7.49894	4.58884e-30
0.1	8.25404	1.32615e-30
0.1	9.08518	3.17448e-31
0.1	10.0	6.03368e-32
0.1	1.0	1.24432e-21
0.1	1.10069	5.38688e-22
0.1	1.21153	2.2276e-22
0.1	1.33352	8.75865e-23
0.1	1.4678	3.25828e-23
0.1	1.6156	1.1408e-23
0.1	1.77828	3.73917e-24
0.1	1.95734	1.14169e-24
0.1	2.15443	3.24933e-25
0.1	2.37137	8.85677e-26
0.1	2.61016	2.63077e-26
0.1	2.87298	1.05477e-26
0.1	3.16228	5.31979e-27
0.1	3.4807	2.83241e-27
0.1	3.83119	1.50267e-27
0.1	4.21697	7.81611e-28
0.1	4.64159	3.94139e-28
0.1	5.10897	1.90209e-28
0.1	5.62341	8.6543e-29
0.1	6.18966	3.64633e-29
0.1	6.81292	1.3929e-29
0.1	7.49894	4.70597e-30
0.1	8.25404	1.36528e-30
0.1	9.08518	3.28415e-31
0.1	10.0	6.28e-32
0.1	1.0	2.59163e-21
0.1	1.10069	1.1853e-21
